21/07/23 20:28:30 012 [info]: 	매 분30초 마다 실행
21/07/23 20:29:05 014 [info]: 	매 분5초 마다 실행
21/07/23 20:30:05 005 [info]: 	매 분5초 마다 실행
21/07/23 20:31:05 021 [info]: 	매 분5초 마다 실행
21/07/23 20:32:05 016 [info]: 	매 분5초 마다 실행
21/07/23 20:33:05 018 [info]: 	매 분5초 마다 실행
21/07/23 20:34:05 011 [info]: 	매 분5초 마다 실행
21/07/23 20:35:05 018 [info]: 	매 분5초 마다 실행
21/07/23 20:36:05 008 [info]: 	매 분5초 마다 실행
21/07/23 20:44:00 435 [error]: 	예약작업이 설정되었습니다.
21/07/23 20:44:05 008 [info]: 	매 분5초 마다 실행
21/07/23 20:44:45 011 [debug]: 	매주 월~금 매 분 45초마다 실행
21/07/23 21:48:00 008 [debug]: 	Hello Python~!!!
안녕하세요. 파이썬~!!!

